institution,president,start,end,ordinal
Grambling,Charles P. Adams,1901,1936,1
Grambling,Ralph Waldo Emerson Jones,1936,1977,2
Grambling,Joseph Benjamin Johnson,1977,1991,3
Grambling,Harold W. Lundy,1991,1994,4
Grambling,Raymond Hicks,1994,1997,5
Grambling,Leonard Haynes III,1997,1998,6
Grambling,Steve A. Favors,1998,2001,7
Grambling,Neari Francois Warner,2001,2004,8
Grambling,Horace Judson,2004,2009,9
Grambling,Frank Pogue,2009,2014,10
Grambling,Cynthia S. Warrick,2014,2015,11
Grambling,Willie Larkin ,2015,2016,12
Grambling,"Richard J. Gallot, Jr.",2016,present,13
Southern,Joseph S. Clark,1914,1938,1
Southern,Felton G. Clark,1938,1969,2
Southern,G. Leon Netterville,1969,1974,3
Southern,"Jesse N. Stone, Jr.",1974,1985,4
Southern,Joffre T. Whisenton,1985,1988,5
Southern,Dolores R. Spikes,1988,1996,6
Southern,Leon R. Tarver II,1997,2005,7
Southern,Edward Jackson,2005,2006,8
Southern,Ralph Slaughter,2006,2009,9
Southern,Ronald Mason Jr.,2010,2015,10
Southern,Ray Belton,2015,present,11
Jackson,Charles Ayer,1877,1894,1
Jackson,Luther G. Barrett,1894,1911,2
Jackson,Zachary T. Hubert,1911,1927,3
Jackson,B. Baldwin Dansby,1927,1940,4
Jackson,Jacob L. Reddix,1940,1967,5
Jackson,"John A. Peoples, Jr.",1967,1984,6
Jackson,James A. Hefner,1984,1991,7
Jackson,"Herman B. Smith, Jr.",1991,1992,8
Jackson,James E. Lyons Sr.,1992,1999,9
Jackson,Bettye Ward Fletcher,1999,2000,10
Jackson,"Ronald Mason, Jr.",2000,2010,11
Jackson,Leslie Burl McLemore,2010,2010,12
Jackson,Carolyn W. Meyers,2011,2016,13
Jackson,Rod Paige,2016,2017,14
Jackson,William B. Bynum,2017,2020,15
Jackson,Thomas Hudson,2020,2023,16
Jackson,Elayne Hayes-Anthony,2023,present,17